edge_slice_demand;k_1= (12,16,6);k_2= (8,5,6);k_3= (16,12,6);k_4= (14,15,6);k_5= (6,5,6);k_6= (7,12,6);k_7= (16,6,6);k_8= (15,8,6);k_9= (10,13,6);k_10= (1,14,6);k_11= (8,3,6);k_12= (12,16,6);k_13= (16,4,6);k_14= (16,10,6);k_15= (2,1,6);k_16= (9,11,6);k_17= (16,13,6);k_18= (8,10,6);k_19= (3,6,6);k_20= (9,12,6);k_21= (9,4,6);k_22= (15,13,6);k_23= (12,4,6);k_24= (10,17,6);k_25= (11,5,6);k_26= (5,9,6);k_27= (15,12,6);k_28= (7,2,6);k_29= (10,13,6);k_30= (5,7,6);k_31= (7,16,6);k_32= (17,16,6);k_33= (17,8,6);k_34= (10,16,6);k_35= (11,12,6);k_36= (9,4,6);k_37= (4,9,6);k_38= (6,2,6);k_39= (9,6,6);k_40= (10,14,6);k_41= (15,5,6);k_42= (8,17,6);k_43= (13,2,6);k_44= (10,14,6);k_45= (3,15,6);k_46= (9,2,6);k_47= (2,7,6);k_48= (12,15,6);k_49= (17,16,6);k_50= (7,11,6);k_51= (6,11,6);k_52= (17,6,6);k_53= (11,9,6);k_54= (10,17,6);k_55= (9,13,6);k_56= (10,17,6);k_57= (17,1,6);k_58= (9,15,6);k_59= (1,5,6);k_60= (17,15,6);
[5,11]; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[6,7]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;
[6,9]; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;
[7,8]; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ;
[8,9]; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ; ; ;
[8,11]; ;1; ; ; ;1;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;1;1;1; ;1; ; ; ; ; ;
[10,11]; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[10,13]; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ;
[11,12]; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;
[11,13]; ; ; ; ; ; ;1;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ;1;1;1; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ;
[12,14];1; ;1; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;
[13,15]; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[13,17]; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ;1;1; ; ; ;
[14,15];1; ;1;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;
[15,16];1; ;1; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[16,17]; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1;
 slice allocation ;30;60;72;52;72;12;48;24;6;36;18;24;6;44;12;66;6;30;29;48;30;12;60;50;18;6;18;60;77;18;78;12;18;30;54;24;54;78;6;36;42;72;12;6;18;36;12;12;18;54;42;66;6;12;36;24;56;42;6;38;
