edge_slice_demand;k_1= (17,15,3);k_2= (16,6,6);k_3= (7,10,6);k_4= (12,6,3);k_5= (14,10,3);k_6= (10,12,3);k_7= (5,14,6);k_8= (1,2,6);k_9= (13,8,6);k_10= (7,11,6);k_11= (1,9,6);k_12= (12,8,3);k_13= (3,15,3);k_14= (16,11,6);k_15= (5,9,3);k_16= (7,9,4);k_17= (9,15,6);k_18= (1,17,6);k_19= (7,12,3);k_20= (3,2,6);k_21= (7,2,4);k_22= (6,3,3);k_23= (6,18,3);k_24= (14,17,3);k_25= (1,2,3);k_26= (2,11,3);k_27= (16,2,6);k_28= (17,14,3);k_29= (6,9,6);k_30= (7,13,6);k_31= (7,6,6);k_32= (18,15,3);k_33= (13,10,3);k_34= (6,3,6);k_35= (7,13,3);k_36= (14,17,4);k_37= (5,18,3);k_38= (1,5,6);k_39= (17,7,6);k_40= (6,11,6);k_41= (9,7,4);k_42= (14,15,6);k_43= (7,17,3);k_44= (17,9,6);k_45= (1,2,3);k_46= (5,16,4);k_47= (11,7,3);k_48= (3,18,6);k_49= (14,10,6);k_50= (15,3,6);k_51= (3,15,3);k_52= (16,15,4);k_53= (2,1,6);k_54= (17,11,3);k_55= (7,17,3);k_56= (5,18,6);k_57= (13,4,4);k_58= (9,8,6);k_59= (10,16,6);k_60= (9,2,3);k_61= (4,17,3);k_62= (2,14,3);k_63= (4,8,6);k_64= (3,16,3);k_65= (9,3,4);k_66= (4,2,6);k_67= (11,3,3);k_68= (9,15,3);k_69= (16,15,3);k_70= (1,12,3);
[9,15]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ;1; ; ;
[10,16]; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;
[11,16]; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;
[12,13]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[13,15]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;
[14,17]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;
[14,18]; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
[15,17];1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;
[8,15]; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ; ;
 slice allocation ;3;45;78;20;43;140;135;6;140;140;58;3;44;6;31;23;93;6;3;38;136;140;4;3;32;101;70;109;106;61;91;30;118;133;46;140;3;124;18;140;138;6;70;102;21;102;3;38;95;73;138;129;83;140;117;140;140;73;9;140;31;59;125;64;4;6;3;3;52;3;
